feature,importance
maximum_core_linear_error8,0.027232320618939706
delta_from_minimum_recentcore_amount_range,0.027186363019248927
own_core_gap2,0.02707526116045736
minimum2_core_age3,0.027022471858615428
own_core_cadence_active_due,0.02690479720493928
minimum2_age3,0.026765490347801502
own_core_phase_due14,0.026686789641425283
own_core_gap_error365,0.02655245717662578
minimum1_core_due_gap_recent,0.02653209902611456
delta_from_minimum_active_n_1.5,0.026511605081798492
maximum_gap_std,0.026478491965868663
minimum1_phase_due7,0.026452777840765617
maximum_amount_last,0.02641065035645007
minimum1_recentcore_phase_due365,0.02638442118012409
rank_mcc_6300,0.026321515299942765
minimum2_recentcore_cadence_age_ratio,0.026294489231153906
competitor0_cadence_due,0.02624450559516311
maximum_overdue_gap_med,0.026204644672585712
minimum1_gap_min,0.026197036179809043
delta_from_minimum_core_amount_last,0.026186878402475824
maximum_phase_strength90,0.026086725358862847
maximum_recentcore_amount_last_delta,0.026080464845200997
maximum_recentcore_gap_min,0.026037364430161438
minimum1_core_age4,0.02591418513200847
maximum_regular_amount,0.025802990832247737
own_gap_error30,0.025781540631580765
minimum1_gap_error7,0.025749322777330313
delta_from_minimum_core_age2,0.02564575419842909
delta_from_minimum_recentcore_regular_amount,0.02564302436157782
own_gap_min,0.025629231131098638
minimum2_age,0.025505499707748385
minimum3_last_due90,0.02548777973480329
minimum2_recentcore_span,0.025485816038914325
delta_from_minimum_overdue_gap_mean,0.025462979824113764
minimum3_recentcore_first_age,0.025414653474158676
minimum1_core_cadence_error,0.02521730943266285
maximum_amount_range,0.02516483495134237
rank_core_cadence_due,0.02496434478887309
maximum_core_phase_due90,0.024881691024212817
delta_from_minimum_core_phase_strength365,0.02482036249666012
maximum_linear_error3,0.02479494516110997
delta_from_minimum_core_gap_error90,0.024649792999735732
maximum_cadence_age_ratio,0.024574891788244357
maximum_recentcore_phase_strength30,0.024544806098145806
delta_from_minimum_core_gap1,0.02445795605171123
minimum1_phase_strength14,0.02445494061016602
delta_from_minimum_recentcore_n120,0.024434441288922845
maximum_recentcore_cadence_slope,0.02436281375082351
maximum_core_n120,0.02429204314475998
minimum3_amount_cv,0.02428753295052627
delta_from_minimum_core_amount_med,0.02428626804221674
minimum2_due_gap_mean,0.02427600640697587
own_core_fraction,0.024253664831271064
minimum1_recentcore_last_due30,0.024071121123541643
maximum_cadence_slope,0.02399015454656268
maximum_recentcore_gap_last,0.023965929628162866
minimum1_linear_due3,0.023961542477730982
own_core_due_gap_mean,0.02395801442488881
minimum1_recentcore_gap_error14,0.023917522230237572
maximum_core_amount_last_delta,0.02391589120674438
delta_from_minimum_phase_strength30,0.023887223600814834
maximum_core_gap_min,0.023883806561450713
rank_core_gap_std,0.02371259264701407
rank_recentcore_cadence_age_ratio,0.023710819488895137
own_recentcore_cadence_active_due,0.023538424828640533
rank_recentcore_cadence_active_due,0.02352793873483909
maximum_gap1,0.02338309244668116
minimum1_age4,0.023380333667626117
minimum2_phase_strength30,0.0233219925394205
rank_recentcore_age5,0.02325673381074614
maximum_linear_due8,0.02323709183237969
delta_from_minimum_cadence_slope,0.023224808654402494
minimum1_recentcore_overdue_gap_med,0.02318645654029501
minimum1_linear_period8,0.023135801078033768
